TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist
295676031;136.7860831;163.1837879;116.100776;0.21830293;0.241161589
295676078;136.989684;163.0797927;115.8991532;0.218043617;0.242122963
295676109;137.0561785;164.7996273;115.7665297;0.217789749;0.242106237
295676140;137.1695462;164.85648;115.6639833;0.217697217;0.242085649
295676171;140.2313546;160.5990431;115.6179355;0.217646888;0.180493267
295676203;136.6087199;165.6061774;115.8811278;0.217768994;0.242060993
295676234;136.8221625;165.7571634;115.6873074;0.217829444;0.24203624
295676281;137.1173751;166.5324078;115.9766883;0.218042566;0.242010931
295676312;137.1458204;165.9072623;115.8741531;0.218230654;0.241988341
295676343;137.2009344;165.995251;116.3495097;0.217253928;0.241957407
295676375;136.7933243;165.9261838;117.0150833;0.215902649;0.241917484
295676406;137.2648938;165.8093785;116.749683;0.217470025;0.241890438
295676437;140.2897061;159.9937489;116.5901563;0.2183244;0.181701671
295676468;137.4765012;168.3822393;116.4082345;0.21863086;0.241857381
295676515;137.9693081;166.430356;116.1382216;0.220273832;0.241831452
295676546;138.4446824;170.2071775;115.9440676;0.225028685;0.24185212
295676578;141.2510387;163.8586032;113.5037069;0.23329837;0.241909999
295676609;144.4443843;151.0746674;113.8817275;0.230396135;0.239644346
295676640;147.8557552;147.7976045;115.1884521;0.213458939;0.215830806
295676671;142.9836011;149.5026928;118.5126504;0.211414098;0.224283532
295676703;140.3304913;157.2511581;119.8432029;0.216826114;0.220011849
295676734;140.8785421;157.5233033;118.2513795;0.239912398;0.191097687
295676781;138.9795763;152.8308538;120.790194;0.239360177;0.18963954
295676812;135.7174708;154.5196354;123.9378421;0.236503109;0.209031025
295676843;134.1856339;153.6136312;124.6166563;0.23365598;0.216458711
295676875;133.1535784;158.8777423;124.9511831;0.231100969;0.190521847
295676906;128.0340353;150.8655157;123.8594992;0.233627276;0.241682871
295676937;128.0049216;154.8631934;117.6415174;0.235645784;0.241422792
295676968;130.6895417;159.3681402;110.0472881;0.235598464;0.241151865
295677015;129.0476406;157.3146342;113.8639832;0.235702864;0.241345069
295677046;132.2902451;152.8284111;114.7432036;0.235905785;0.2052523
295677078;139.5925457;145.0181592;98.15369383;0.235704038;0.237057217
295677109;141.9968111;149.6878111;91.46386511;0.235937184;0.239992131
295677140;143.9505145;153.8044626;84.75182012;0.236050316;0.239782551
295677171;144.2229562;153.5347083;83.42447113;0.235982061;0.239721067
295677218;138.9285185;165.2252244;82.45377673;0.236137531;0.24048776
295677234;132.6938968;156.2844612;113.0398171;0.237009867;0.241476158
295677281;135.5763372;170.6007761;120.6408645;0.195067491;0.242053981
295677312;135.5265266;171.139838;120.7971601;0.19514115;0.242038594
295677343;135.5051052;171.8075323;120.9907156;0.195668928;0.24203439
295677375;135.3866229;163.7531929;121.2944856;0.196306113;0.242030451
295677406;135.2891706;172.2884632;121.649577;0.196291113;0.242029717
295677437;135.1250268;172.59488;121.795047;0.196843994;0.242029191
295677468;135.1507524;164.6542177;121.798833;0.196696133;0.24202446
295677515;135.1097248;173.8662925;121.9455052;0.196881013;0.242024192
295677546;135.0858384;173.7003256;121.9887623;0.196944055;0.242025527
295677578;135.0068867;173.9980327;122.0298534;0.196960745;0.242009701
295677609;134.7543755;172.734285;122.0611283;0.198058713;0.241995385
295677640;134.5626742;174.9598377;122.1986789;0.198725583;0.241995082
295677671;134.5421051;173.5518654;122.2473339;0.198720975;0.241980985
295677703;136.8277202;139.3520155;122.172354;0.198528253;0.241827659
295677750;137.5467931;169.8145661;122.107278;0.197936199;0.241765086
295677781;137.9068145;166.5277613;121.9883744;0.197571795;0.241740994
295677812;140.100438;153.7848285;121.336899;0.197226627;0.207210742
295677843;139.7691612;155.267684;121.0248908;0.198889163;0.201857085
295677875;138.7657578;155.5729837;119.9343582;0.207518004;0.199860518
295677906;138.4318265;148.9918503;119.231064;0.207500708;0.241555098
295677937;138.4160833;152.7076679;119.6310278;0.205850293;0.21608536
295677968;137.2211074;151.261981;120.2535518;0.207014035;0.241537376
295678015;135.2410555;165.0457858;120.5013283;0.207156675;0.24168386
295678046;134.892739;159.9421291;121.0679667;0.20626756;0.241680305
295678078;136.8104671;158.530737;121.6721602;0.204513981;0.198671758
295678109;136.5701738;158.7206917;121.8475506;0.202947209;0.19917958
295678140;136.4548842;158.519486;122.829416;0.199775398;0.202050557
295678171;136.6291069;158.2468251;123.386984;0.200787993;0.198892689
295678203;137.2164701;158.8499838;123.4888715;0.201028426;0.199394987
295678250;138.4674808;158.7869408;122.8851745;0.202128244;0.197369472
295678281;138.8909616;158.8893285;122.5962683;0.203541272;0.199133453
295678312;139.3274521;148.8839597;120.8668322;0.210118055;0.241496454
295678343;138.6830299;153.8375585;120.2348492;0.209858539;0.241570686
295678375;138.1348426;155.9453614;120.4179666;0.210178257;0.241620234
295678406;140.8963325;153.2069118;120.2523855;0.21158212;0.192651353
295678453;140.4741581;155.1313094;120.2773136;0.212593366;0.198863207
295678468;141.808193;154.2979883;118.9345786;0.215236115;0.198705497
295678515;143.3273373;153.9597785;117.3934653;0.223584931;0.18850092
295678546;143.7764242;153.7108884;116.9608644;0.22504532;0.186039038
295678578;143.7721268;153.676257;116.8524668;0.225179156;0.185954945
295678609;143.4902925;153.4679707;116.8106441;0.224986685;0.189406571
295678640;142.1364453;149.8427496;116.781379;0.223221032;0.238880003
295678671;140.6853531;148.2624508;117.9052433;0.213509183;0.24164499
295678703;141.7801138;152.9378412;117.9780382;0.211874171;0.207548979
295678750;138.3411498;158.1515036;117.89079;0.211866764;0.241792035
295678781;138.6191727;154.253562;118.4099338;0.211743629;0.24176043
295678812;139.0190537;151.9064499;118.3517394;0.211443963;0.241720204
295678843;138.7809737;151.8082469;118.2444052;0.211906868;0.241732532
295678890;138.9679869;151.6527727;118.15279;0.21103975;0.241712891
295678906;138.6097765;152.4149005;118.2459887;0.210621043;0.241717385
295678953;138.7366241;151.9731619;118.2790261;0.209557762;0.241691219
295678968;138.7077353;151.3813983;118.2290473;0.208591015;0.241693104
295679015;138.6866666;151.0530284;118.2202048;0.20861508;0.241686625
295679046;138.74675;151.0367901;118.641813;0.208620362;0.241673483
295679078;138.8997437;150.8409349;118.5552945;0.20820672;0.241649189
295679109;138.9161026;150.7569571;118.5243389;0.208244415;0.241635013
