TimeStamp;AngleElbowRight;AngleWristRight;AngleShoulderRight;AngleElbowLeft;AngleWristLeft;AngleShoulderLeft;LShoulderElbow;LElbowWrist
297566390;157.6128514;137.7945485;96.44361678;146.1022752;169.5607609;129.6552791;0.171458312;0.213939373
297566421;157.8003382;137.4049806;96.46422794;145.6146349;170.0806152;129.604494;0.171463264;0.212739548
297566453;157.9586139;137.2602684;96.46266088;145.4890428;171.0027671;129.4981885;0.171461503;0.211091382
297566484;158.0100453;137.5154833;96.43430781;145.4578206;171.0116966;129.3530318;0.171467275;0.210695209
297566515;157.9925257;136.5610114;96.47767778;146.2641103;170.1611946;129.2865162;0.171469762;0.210160211
297566546;135.9748013;178.8960362;96.43260696;146.5474805;169.7268849;129.2935908;0.171471224;0.226092626
297566578;135.9276303;178.734923;96.43713979;146.0503663;170.3132068;129.3025162;0.171465138;0.226092532
297566625;135.9500371;178.6558891;96.38880136;146.3508794;169.7951973;129.2756491;0.171468772;0.226092595
297566640;135.91192;178.4898794;96.37460772;146.5883907;169.3654853;129.1731359;0.171465379;0.226092444
297566687;135.8739955;178.4949189;96.38861292;145.9153874;170.3179267;129.1646008;0.171464922;0.226092541
297566718;135.9190118;178.6261505;96.31463152;145.6048871;170.8770926;129.1161045;0.171471734;0.226092296
297566750;135.9150443;178.8709888;96.29845257;145.4749098;170.9486472;129.1483511;0.171471874;0.226092314
297566781;135.9659879;178.7938944;96.29887792;145.7714216;170.2053361;129.1464358;0.1714806;0.226092406
297566812;157.0619594;136.1671685;96.2612104;146.1656641;170.3542512;129.1342222;0.171481607;0.225686333
297566859;135.9250545;179.0068061;96.23254435;146.3052884;169.3406093;129.0518197;0.171492306;0.226100823
297566890;135.9071723;179.1176734;96.23711363;146.5825944;168.8951593;129.0822056;0.171490641;0.226100888
297566921;135.8488176;179.1390491;96.26966623;145.9866385;169.6570345;129.0953425;0.171483218;0.226101043
297566953;135.8722545;178.9421138;96.25641876;145.7617315;170.1745824;129.0695879;0.171493151;0.226109367
297566984;135.9853023;179.17084;96.15005851;145.5731946;170.2938065;129.0888046;0.171509877;0.22611758
297567015;135.9856181;179.1416189;96.15102794;146.2555549;169.4521808;129.1048649;0.171509661;0.226117566
297567046;135.9606683;179.3629331;96.16828055;145.727974;169.9303027;129.065142;0.171508493;0.226117591
297567093;135.9033649;179.2688777;96.20394283;146.2275388;169.4137892;129.0475711;0.171501962;0.226117517
297567125;135.9049066;179.4582836;96.19204231;146.3712092;168.8096606;129.0621252;0.171502599;0.226117583
297567156;135.9097262;179.4250362;96.19022677;145.9081271;169.4477387;129.062755;0.171500127;0.226117355
297567187;135.9061405;179.1609876;96.19519957;146.3506168;168.9742637;129.0566395;0.171499294;0.226117217
297567218;135.9145467;179.3254355;96.20227163;146.5291534;168.847853;129.0464406;0.17149728;0.226117132
297567265;135.9438843;179.1935211;96.21436145;146.6846745;168.2624631;129.0557581;0.171491748;0.226116476
297567281;136.041188;179.0633088;96.21229439;146.0473447;169.6479209;129.0586696;0.171510405;0.226122929
297567312;136.09296;179.3594935;96.18147418;146.238144;169.4136067;129.0427899;0.171518816;0.226125849
297567343;136.1664796;179.0025405;96.14516334;145.7045469;169.8723307;129.0169097;0.171527208;0.226125525
297567375;136.1435003;178.9662809;96.16662087;146.2422584;169.1728096;129.0562509;0.171526005;0.226127625
297567421;157.3298668;135.2735533;96.16496566;146.3386704;169.0103501;129.090542;0.171528696;0.225721762
297567453;136.2797682;178.3700437;96.23809567;146.485775;168.698044;129.1014339;0.171531443;0.226137748
297567500;136.2593547;178.6215644;96.26251483;146.5845771;168.456103;129.1096842;0.171535136;0.226145066
297567515;136.3062918;178.5864607;96.30311188;146.6725586;168.2027007;129.1117624;0.171545044;0.226148308
297567546;157.1117065;135.6933935;96.36130974;146.7202768;168.2961604;129.1162906;0.171545751;0.225749885
297567578;136.1458152;179.0490174;96.44149529;146.2122085;169.4187331;129.0519158;0.171548226;0.226155225
297567609;136.1492004;178.8916018;96.46554833;145.8134206;169.4932098;129.0715229;0.171550521;0.226158442
297567656;136.1325976;178.9413995;96.50431512;146.3157844;169.1695495;129.0787338;0.171549707;0.226163066
297567687;157.7111496;135.3666926;96.45096029;145.8406055;169.9882368;129.1099851;0.17156134;0.225130857
297567718;136.3277042;178.6399641;96.47073456;145.6428114;170.1414318;129.1141774;0.171559133;0.226159858
297567750;136.3582254;178.3185704;96.48521035;146.1481486;169.4119213;129.1128418;0.171559709;0.226156746
297567781;136.333537;178.3517789;96.53507544;145.7995092;169.9180795;129.1347734;0.171554405;0.226154939
297567812;157.7888906;135.9911648;96.53366948;146.2971869;168.6846483;129.1153424;0.171555009;0.225230018
297567843;136.5432697;177.8859693;96.57453091;146.53887;168.7855212;129.1287935;0.171547295;0.226148189
297567875;136.5441099;178.8646125;96.64460637;146.8192832;168.1091153;129.177932;0.171549424;0.226145331
297567921;136.5498746;178.4621647;96.65137843;146.8708005;168.0389516;129.1808052;0.171549005;0.226141407
297567953;136.5005245;178.5747523;97.40240339;146.8966435;167.8603041;130.8895682;0.171541433;0.226140163
297567984;136.5324265;178.6149997;97.3810103;146.9617519;167.6805241;130.8288412;0.171541416;0.226135848
297568015;136.5569997;178.1161512;97.32990747;146.9857564;167.8345887;130.6683905;0.171543533;0.226135641
297568046;136.5619231;178.1211282;97.6935571;146.9899437;167.6400774;131.5294777;0.171543124;0.226135577
297568078;136.5506897;178.0274021;97.57764428;147.0029944;167.9879203;131.266071;0.171541118;0.22613568
297568125;136.5435024;178.0315975;97.51986048;147.0200139;167.694932;131.1294353;0.17153852;0.226135298
297568156;136.4981634;178.0889997;97.44621265;146.0911665;170.1251553;130.8720632;0.171530082;0.226131241
297568187;136.4304281;178.1992077;97.4560992;146.3558645;169.356412;130.7703738;0.171521745;0.226130142
297568218;136.3878649;178.0537638;97.39837611;146.45117;168.8113376;130.6682009;0.171521466;0.22613094
297568250;136.3514884;178.471628;97.34051698;146.6023682;168.7760008;130.5173559;0.171523684;0.226133224
297568281;136.3473104;178.6687506;97.30604198;146.707635;168.5674073;130.4463276;0.171530507;0.226134452
297568312;136.3367272;178.7588218;97.27574513;146.8077609;168.2465806;130.4027314;0.171533634;0.226135307
297568359;136.3241256;179.002716;97.26655543;146.8097111;168.0158943;130.3298897;0.171530837;0.226137886
297568390;136.3354324;178.7377694;97.22298599;146.8659644;168.2910601;130.2113406;0.171531731;0.22614016
297568421;136.3093826;178.771318;97.2280233;146.8771092;167.682239;130.1213723;0.171531444;0.226142032
